mzML_file	polarity	time	storage	replicate	time_stamp	injection_idx
20170802_1w_VACUM_c_POS.mzML	POS	1w	VACUUM	c	2017-08-03 02:01:28	79
20170802_2w_4C_VACUM_c_POS.mzML	POS	2w	4C_VACUUM	c	2017-08-03 02:10:12	80
20170802_3d_4C_BAG_b_POS.mzML	POS	3d	4C_BAG	b	2017-08-03 02:21:59	81
20170802_QC_10_POS.mzML	POS	QC	QC		2017-08-03 02:30:44	82
20170802_3d_VACUM_c_POS.mzML	POS	3d	VACUUM	c	2017-08-03 02:42:29	83
20170802_3d_BAG_a_POS.mzML	POS	3d	BAG	a	2017-08-03 02:51:14	84
20170802_1d_VACUM_b_POS.mzML	POS	1d	VACUUM	b	2017-08-03 03:03:00	85
20170802_2w_VACUM_c_POS.mzML	POS	2w	VACUUM	c	2017-08-03 03:11:44	86
20170802_2d_BAG_c_POS.mzML	POS	2d	BAG	c	2017-08-03 03:23:30	87
20170802_2w_4C_BAG_a_POS.mzML	POS	2w	4C_BAG	a	2017-08-03 03:32:14	88
20170802_1d_BAG_a_POS.mzML	POS	1d	BAG	a	2017-08-03 03:44:00	89
20170802_1w_VACUM_a_POS.mzML	POS	1w	VACUUM	a	2017-08-03 03:52:43	90
20170802_QC_11_POS.mzML	POS	QC	QC		2017-08-03 04:04:30	91
20170802_6h_RT_a_POS.mzML	POS	6h	RT	a	2017-08-03 04:13:14	92
20170802_2w_VACUM_b_POS.mzML	POS	2w	VACUUM	b	2017-08-03 04:25:00	93
20170802_1d_RT_b_POS.mzML	POS	1d	RT	b	2017-08-03 04:33:44	94
20170802_2d_VACUM_b_POS.mzML	POS	2d	VACUUM	b	2017-08-03 04:45:31	95
20170802_3d_BAG_c_POS.mzML	POS	3d	BAG	c	2017-08-03 04:54:15	96
20170802_2d_4C_VACUM_c_POS.mzML	POS	2d	4C_VACUUM	c	2017-08-03 05:06:01	97
20170802_3d_4C_BAG_a_POS.mzML	POS	3d	4C_BAG	a	2017-08-03 05:14:45	98
20170802_2w_RT_a_POS.mzML	POS	2w	RT	a	2017-08-03 05:26:31	99
20170802_QC_12_POS.mzML	POS	QC	QC		2017-08-03 05:35:15	100
20170802_1w_BAG_a_POS.mzML	POS	1w	BAG	a	2017-08-03 05:47:00	101
20170802_3d_VACUM_b_POS.mzML	POS	3d	VACUUM	b	2017-08-03 05:55:45	102
20170802_3d_RT_b_POS.mzML	POS	3d	RT	b	2017-08-03 06:07:30	103
20170802_2w_RT_b_POS.mzML	POS	2w	RT	b	2017-08-03 06:16:15	104
20170802_1d_VACUM_a_POS.mzML	POS	1d	VACUUM	a	2017-08-03 06:28:01	105
20170803_QC_1_NEG.mzML	NEG	QC	QC		2017-08-03 10:22:23	1
20170803_1w_4C_VACUM_a_NEG.mzML	NEG	1w	4C_VACUUM	a	2017-08-03 10:31:07	2
20170803_1d_4C_VACUM_a_NEG.mzML	NEG	1d	4C_VACUUM	a	2017-08-03 10:42:51	3
